date_found,last_seen,id,reg_id,published,name,org,price,deadline,status,cpvs,label,attachment_count,pdf_count,excel_count,image_count,link
"2026-05-08","2026-08-15 17:24","686141","NAT260009588","08.05.2026","45100000-Site preparation work","Tbilisi Krtsanisi District Gamgeoba","100`000.00 GEL","29.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686141"
"2026-05-08","2026-08-15 17:24","685840","NAT260009621","08.05.2026","45100000-Site preparation work","Gurdjaani Municipality","228`608.00 GEL","19.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=685840"
"2026-05-11","2026-08-15 17:24","684658","NAT260009716","11.05.2026","45100000-Site preparation work","Gori MUnicipality City Hall","248`315.00 GEL","25.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=684658"
"2026-05-11","2026-08-15 17:24","684560","NAT260009720","11.05.2026","45100000-Site preparation work","Gori MUnicipality City Hall","417`437.00 GEL","02.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=684560"
"2026-05-11","2026-08-15 17:24","686371","NAT260009788","11.05.2026","45100000-Site preparation work","Tbilisi Didube District Gamgeoba","402`652.00 GEL","02.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686371"
"2026-05-13","2026-08-15 17:24","686499","NAT260009803","13.05.2026","45100000-Site preparation work","Tbilisi Saburtalo District Gamgeoba","390`452.00 GEL","03.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686499"
"2026-05-13","2026-08-15 17:24","686630","NAT260009884","13.05.2026","45100000-Site preparation work","Tbilisi Didube District Gamgeoba","96`771.00 GEL","03.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686630"
"2026-05-14","2026-08-15 17:24","686417","NAT260009958","14.05.2026","45100000-Site preparation work","Signagi Municipality","583`465.00 GEL","25.05.2026","Contract not awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686417"
"2026-05-14","2026-08-15 17:24","686745","NAT260009977","14.05.2026","45100000-Site preparation work","Kobuleti Municipality","49`500.00 GEL","25.05.2026","Cancelled","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686745"
"2026-05-14","2026-08-15 17:24","686853","NAT260010098","14.05.2026","45100000-Site preparation work","National Agency for Cultural Heritage Preservation of Georgia","669`162.00 GEL","05.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686853"
